,Stkcd,year,EX_INDAT_read,AT
395,000417,2017,,
396,000417,2018,7.0,6.0
397,000417,2019,7.0,2305.0
398,000417,2020,12.0,2428.0
399,000418,2016,,
400,000418,2017,,
401,000418,2018,22.0,8.0
402,000419,2016,,
403,000419,2017,,
404,000419,2018,7.0,10.0
405,000419,2019,7.0,1779.0
406,000419,2020,12.0,1375.0
407,000420,2016,,
408,000420,2017,,
409,000420,2018,3.0,13.0
410,000420,2019,3.0,2727.0
411,000420,2020,2.0,7882.0
412,000421,2016,,
413,000421,2017,,
414,000421,2018,3.0,21.0
415,000421,2019,1.0,1119.0
416,000421,2020,0.0,5101.0
417,000422,2016,,
418,000422,2017,,
419,000422,2018,23.0,172.0
420,000422,2019,16.0,5905.0
421,000422,2020,12.0,3296.0
422,000423,2016,,
423,000423,2017,,
424,000423,2018,26.0,54.0
425,000423,2019,17.0,8800.0
426,000423,2020,37.0,5369.0
427,000425,2016,,
428,000425,2017,,
429,000425,2018,15.0,10.0
432,000426,2016,,
433,000426,2017,,
434,000426,2018,10.0,45.0
436,000426,2020,4.0,7463.0
437,000428,2016,,
438,000428,2017,,
439,000428,2018,0.0,8.0
440,000428,2019,0.0,1830.0
441,000428,2020,0.0,5472.0
442,000429,2016,,
443,000429,2017,,
444,000429,2018,1.0,4.0
445,000429,2019,1.0,941.0
446,000429,2020,3.0,683.0
447,000430,2016,,
448,000430,2017,,
449,000430,2018,0.0,7.0
450,000430,2019,0.0,1003.0
451,000430,2020,0.0,1805.0
452,000488,2016,,
453,000488,2017,,
454,000488,2018,3.0,45.0
455,000488,2019,4.0,6042.0
456,000488,2020,0.0,6367.0
457,000498,2016,,
458,000498,2017,,
459,000498,2018,11.0,8.0
460,000498,2019,8.0,2998.0
461,000498,2020,7.0,3336.0
462,000501,2016,,
463,000501,2017,,
464,000501,2018,7.0,15.0
465,000501,2019,7.0,2488.0
466,000501,2020,12.0,9412.0
467,000503,2016,,
468,000503,2017,,
469,000503,2018,13.0,60.0
470,000503,2019,15.0,7346.0
471,000503,2020,13.0,5175.0
472,000504,2016,,
473,000504,2017,,
474,000504,2018,0.0,6.0
475,000504,2019,0.0,1003.0
476,000504,2020,0.0,752.0
477,000505,2016,,
478,000505,2017,,
479,000505,2018,1.0,10.0
480,000505,2019,4.0,6516.0
482,000506,2016,,
483,000506,2017,,
484,000506,2018,10.0,53.0
486,000506,2020,4.0,4687.0
487,000507,2016,,
488,000507,2017,,
489,000507,2018,2.0,14.0
490,000507,2019,2.0,4932.0
491,000507,2020,0.0,4527.0
492,000510,2016,,
493,000510,2017,,
494,000510,2018,23.0,6.0
495,000510,2019,16.0,5293.0
496,000510,2020,12.0,4510.0
497,000511,2016,,
