,Stkcd,Time,INS
417,000422,2016-12-31,0.488178
418,000422,2017-12-31,0.227879
419,000422,2018-12-31,0.2238
420,000422,2019-12-31,0.24309999999999998
421,000422,2020-12-31,0.237
422,000423,2016-12-31,0.49896
423,000423,2017-12-31,0.503769
424,000423,2018-12-31,0.54588
425,000423,2019-12-31,0.5615950000000001
426,000423,2020-12-31,0.5641320000000001
427,000425,2016-12-31,0.569752
428,000425,2017-12-31,0.563399
429,000425,2018-12-31,0.6227400000000001
430,000425,2019-12-31,0.665465
431,000425,2020-12-31,0.615802
432,000426,2016-12-31,0.558096
433,000426,2017-12-31,0.553154
434,000426,2018-12-31,0.526524
435,000426,2019-12-31,0.512185
436,000426,2020-12-31,0.501325
437,000428,2016-12-31,0.7254259999999999
438,000428,2017-12-31,0.624935
439,000428,2018-12-31,0.6234190000000001
440,000428,2019-12-31,0.597739
441,000428,2020-12-31,0.558353
442,000429,2016-12-31,0.715123
443,000429,2017-12-31,0.7161879999999999
444,000429,2018-12-31,0.72925
445,000429,2019-12-31,0.7142449999999999
446,000429,2020-12-31,0.695411
447,000430,2016-12-31,0.5520280000000001
448,000430,2017-12-31,0.595255
449,000430,2018-12-31,0.572785
450,000430,2019-12-31,0.551098
451,000430,2020-12-31,0.5486
452,000488,2016-12-31,0.449405
453,000488,2017-12-31,0.479375
454,000488,2018-12-31,0.461065
455,000488,2019-12-31,0.45853499999999997
456,000488,2020-12-31,0.47259900000000005
457,000498,2016-12-31,0.765707
458,000498,2017-12-31,0.736741
459,000498,2018-12-31,0.696721
460,000498,2019-12-31,0.693201
461,000498,2020-12-31,0.778427
462,000501,2016-12-31,0.619994
463,000501,2017-12-31,0.610851
464,000501,2018-12-31,0.581028
465,000501,2019-12-31,0.609707
466,000501,2020-12-31,0.543084
467,000503,2016-12-31,0.34530299999999997
468,000503,2017-12-31,0.300688
469,000503,2018-12-31,0.313659
470,000503,2019-12-31,0.28393999999999997
471,000503,2020-12-31,0.268664
472,000504,2016-12-31,0.573741
473,000504,2017-12-31,0.526903
474,000504,2018-12-31,0.483
475,000504,2019-12-31,0.4843
476,000504,2020-12-31,0.47619999999999996
477,000505,2016-12-31,0.302561
478,000505,2017-12-31,0.558078
479,000505,2018-12-31,0.560501
480,000505,2019-12-31,0.541
481,000505,2020-12-31,0.4705
482,000506,2016-12-31,0.272757
483,000506,2017-12-31,0.452615
484,000506,2018-12-31,0.39374400000000004
485,000506,2019-12-31,0.396706
486,000506,2020-12-31,0.39340600000000003
487,000507,2016-12-31,0.298455
488,000507,2017-12-31,0.292423
489,000507,2018-12-31,0.284574
490,000507,2019-12-31,0.392911
491,000507,2020-12-31,0.396183
492,000510,2016-12-31,0.169039
493,000510,2017-12-31,0.216028
494,000510,2018-12-31,0.16979
495,000510,2019-12-31,0.169417
496,000510,2020-12-31,0.16944700000000001
497,000511,2016-12-31,0.156301
498,000511,2017-12-31,0.16191299999999997
499,000513,2016-12-31,0.8103100000000001
500,000513,2017-12-31,0.765212
501,000513,2018-12-31,0.729101
502,000513,2019-12-31,0.759461
503,000513,2020-12-31,0.741888
504,000514,2016-12-31,0.632525
505,000514,2017-12-31,0.638726
506,000514,2018-12-31,0.636756
507,000514,2019-12-31,0.638575
508,000514,2020-12-31,0.639568
509,000517,2016-12-31,0.536389
510,000517,2017-12-31,0.538963
511,000517,2018-12-31,0.53744
512,000517,2019-12-31,0.538069
513,000517,2020-12-31,0.548386
514,000518,2016-12-31,0.24632400000000002
515,000518,2017-12-31,0.188252
516,000518,2018-12-31,0.18671900000000002
517,000518,2019-12-31,0.11520799999999999
518,000518,2020-12-31,0.110289
519,000519,2016-12-31,0.542331
520,000519,2017-12-31,0.619481
521,000519,2018-12-31,0.5986290000000001
522,000519,2019-12-31,0.565578
523,000519,2020-12-31,0.51648
524,000520,2016-12-31,0.245107
525,000520,2017-12-31,0.238398
526,000520,2018-12-31,0.27106
527,000520,2019-12-31,0.390565
528,000520,2020-12-31,0.4157
529,000521,2016-12-31,0.452703
530,000521,2017-12-31,0.415595
531,000521,2018-12-31,0.35383899999999996
532,000521,2019-12-31,0.334723
533,000521,2020-12-31,0.33917200000000003
534,000524,2016-12-31,0.567826
535,000524,2017-12-31,0.825375
536,000524,2018-12-31,0.839909
537,000524,2019-12-31,0.810316
538,000524,2020-12-31,0.787631
539,000526,2016-12-31,0.480742
540,000526,2017-12-31,0.420439
541,000526,2018-12-31,0.423193
542,000526,2019-12-31,0.448558
543,000526,2020-12-31,0.603256
544,000528,2016-12-31,0.523673
545,000528,2017-12-31,0.47429200000000005
546,000528,2018-12-31,0.47712200000000005
547,000528,2019-12-31,0.46625
548,000528,2020-12-31,0.458033
549,000529,2016-12-31,0.609666
550,000529,2017-12-31,0.567317
551,000529,2018-12-31,0.5697450000000001
552,000529,2019-12-31,0.567122
553,000529,2020-12-31,0.574365
554,000530,2016-12-31,0.44954700000000003
555,000530,2017-12-31,0.341864
556,000530,2018-12-31,0.29395600000000005
557,000530,2019-12-31,0.293903
558,000530,2020-12-31,0.2939
559,000531,2016-12-31,0.6496989999999999
560,000531,2017-12-31,0.631426
561,000531,2018-12-31,0.635904
562,000531,2019-12-31,0.631013
563,000531,2020-12-31,0.631372
564,000532,2016-12-31,0.509294
565,000532,2017-12-31,0.498718
566,000532,2018-12-31,0.49886
567,000532,2019-12-31,0.498563
568,000532,2020-12-31,0.501239
569,000533,2016-12-31,0.347853
570,000533,2017-12-31,0.446076
571,000533,2018-12-31,0.385595
572,000533,2019-12-31,0.22970300000000002
573,000533,2020-12-31,0.226751
574,000534,2016-12-31,0.660661
575,000534,2017-12-31,0.636112
576,000534,2018-12-31,0.6264000000000001
577,000534,2019-12-31,0.57215
578,000534,2020-12-31,0.558772
579,000536,2016-12-31,0.811755
580,000536,2017-12-31,0.7543040000000001
581,000536,2018-12-31,0.679221
582,000536,2019-12-31,0.633334
583,000536,2020-12-31,0.6124
584,000537,2016-12-31,0.287749
585,000537,2017-12-31,0.835891
586,000537,2018-12-31,0.838167
587,000537,2019-12-31,0.8201560000000001
588,000537,2020-12-31,0.8118080000000001
589,000538,2016-12-31,0.762012
590,000538,2017-12-31,0.8144490000000001
591,000538,2018-12-31,0.820458
592,000538,2019-12-31,0.842649
593,000538,2020-12-31,0.806458
594,000539,2016-12-31,0.760564
595,000539,2017-12-31,0.7631399999999999
596,000539,2018-12-31,0.766065
