,Stkcd,Time,ROA_TTM
332,000333,2019-12-31,0.089373
333,000333,2020-12-31,0.083059
334,000338,2016-12-31,0.025792
335,000338,2017-12-31,0.05191
336,000338,2018-12-31,0.058877
337,000338,2019-12-31,0.053865
338,000338,2020-12-31,0.044426
339,000400,2016-12-31,0.070217
340,000400,2017-12-31,0.046052
341,000400,2018-12-31,0.018317
342,000400,2019-12-31,0.033335
343,000400,2020-12-31,0.050328
344,000401,2016-12-31,-0.000572
345,000401,2017-12-31,0.003178
346,000401,2018-12-31,0.049688
347,000401,2019-12-31,0.079928
348,000401,2020-12-31,0.086625
349,000402,2016-12-31,0.02577
350,000402,2017-12-31,0.034469
351,000402,2018-12-31,0.029498
352,000402,2019-12-31,0.026541
353,000402,2020-12-31,0.013397
354,000403,2016-12-31,0.03214
355,000403,2017-12-31,0.011726
356,000403,2018-12-31,0.056813
357,000403,2019-12-31,0.12192
358,000403,2020-12-31,0.124943
359,000404,2016-12-31,0.052513
360,000404,2017-12-31,0.023461
361,000404,2018-12-31,0.01632
362,000404,2019-12-31,0.009833
363,000404,2020-12-31,0.017152
364,000407,2016-12-31,-0.07693
365,000407,2017-12-31,0.026253
366,000407,2018-12-31,0.03171
367,000407,2019-12-31,0.031532
368,000407,2020-12-31,0.03252
369,000408,2016-12-31,0.234962
370,000408,2017-12-31,0.161128
371,000408,2018-12-31,0.09926
372,000408,2019-12-31,0.032399
373,000408,2020-12-31,0.024986
374,000409,2016-12-31,-0.032305
375,000409,2017-12-31,-0.044571
376,000409,2018-12-31,0.023656
377,000409,2019-12-31,-0.202089
378,000409,2020-12-31,0.041155
379,000411,2016-12-31,0.029267
380,000411,2017-12-31,0.023826
381,000411,2018-12-31,0.024769
382,000411,2019-12-31,0.034174
383,000411,2020-12-31,0.031137
384,000413,2016-12-31,0.034659
385,000413,2017-12-31,0.033864
386,000413,2018-12-31,0.032352
387,000413,2019-12-31,-0.022205
388,000413,2020-12-31,-0.052381
389,000415,2016-12-31,0.016304
390,000415,2017-12-31,0.012209
391,000415,2018-12-31,0.00909
392,000415,2019-12-31,0.012054
393,000415,2020-12-31,-0.033332
394,000417,2016-12-31,0.04132
395,000417,2017-12-31,0.030631
396,000417,2018-12-31,0.030453
397,000417,2019-12-31,0.023169
398,000417,2020-12-31,0.017248
399,000418,2016-12-31,0.080857
400,000418,2017-12-31,0.084944
401,000418,2018-12-31,0.094921
402,000419,2016-12-31,0.029771
403,000419,2017-12-31,0.036268
404,000419,2018-12-31,0.037056
405,000419,2019-12-31,0.039887
406,000419,2020-12-31,0.039611
407,000420,2016-12-31,0.006366
408,000420,2017-12-31,0.015818
409,000420,2018-12-31,0.021138
410,000420,2019-12-31,0.012799
411,000420,2020-12-31,-0.02702
412,000421,2016-12-31,0.042117
413,000421,2017-12-31,0.027755
414,000421,2018-12-31,0.021564
415,000421,2019-12-31,0.015481
416,000421,2020-12-31,0.051201
417,000422,2016-12-31,-0.035301
418,000422,2017-12-31,-0.142338
419,000422,2018-12-31,0.011118
420,000422,2019-12-31,0.004512
421,000422,2020-12-31,0.009485
422,000423,2016-12-31,0.199923
423,000423,2017-12-31,0.183108
424,000423,2018-12-31,0.159004
425,000423,2019-12-31,-0.0349
426,000423,2020-12-31,0.003625
427,000425,2016-12-31,0.004997
428,000425,2017-12-31,0.021948
429,000425,2018-12-31,0.037032
430,000425,2019-12-31,0.052625
431,000425,2020-12-31,0.044304
432,000426,2016-12-31,0.012893
433,000426,2017-12-31,0.057982
434,000426,2018-12-31,-0.018685
435,000426,2019-12-31,0.011229
436,000426,2020-12-31,-0.019787
437,000428,2016-12-31,-0.047504
438,000428,2017-12-31,-0.007883
439,000428,2018-12-31,-0.086081
440,000428,2019-12-31,0.000298
441,000428,2020-12-31,-0.093918
442,000429,2016-12-31,0.083204
443,000429,2017-12-31,0.104935
444,000429,2018-12-31,0.115989
445,000429,2019-12-31,0.085344
446,000429,2020-12-31,0.072917
447,000430,2016-12-31,0.041442
448,000430,2017-12-31,0.030146
449,000430,2018-12-31,0.010341
450,000430,2019-12-31,0.004399
451,000430,2020-12-31,-0.03375
452,000488,2016-12-31,0.025244
453,000488,2017-12-31,0.040008
454,000488,2018-12-31,0.024317
455,000488,2019-12-31,0.01725
456,000488,2020-12-31,0.020115
457,000498,2016-12-31,0.033856
458,000498,2017-12-31,0.035376
459,000498,2018-12-31,0.032617
460,000498,2019-12-31,0.029286
461,000498,2020-12-31,0.033864
462,000501,2016-12-31,0.055878
463,000501,2017-12-31,0.069328
464,000501,2018-12-31,0.051334
465,000501,2019-12-31,0.052709
466,000501,2020-12-31,0.023597
467,000503,2016-12-31,0.008811
468,000503,2017-12-31,-0.000204
469,000503,2018-12-31,-0.138305
470,000503,2019-12-31,0.011984
471,000503,2020-12-31,-0.18704
472,000504,2016-12-31,0.136326
473,000504,2017-12-31,-0.102694
474,000504,2018-12-31,-0.101808
475,000504,2019-12-31,0.059798
476,000504,2020-12-31,0.035503
477,000505,2016-12-31,0.049988
478,000505,2017-12-31,0.055892
479,000505,2018-12-31,0.038388
