,Stkcd,year,DUVOL,ControlDUVOL
139,000069,2018,-0.3888248287033899,-0.12476732052145614
140,000069,2019,-0.44457370138630586,-0.3888248287033899
141,000069,2020,-0.6091098350247747,-0.44457370138630586
142,000070,2018,-1.4862072494300005,0.044294990546724936
143,000070,2019,-0.7446843500504482,-1.4862072494300005
144,000070,2020,0.16420434892836774,-0.7446843500504482
145,000078,2018,-0.7247859181228721,0.9672874304484366
146,000078,2019,-1.4543407045723165,-0.7247859181228721
147,000078,2020,0.08180227554041956,-1.4543407045723165
148,000088,2018,-1.7418529687164241,0.08183265752401359
149,000088,2019,-0.7849900340202258,-1.7418529687164241
150,000088,2020,-0.25705055653987696,-0.7849900340202258
151,000089,2018,-0.3460111322185735,-1.2002060763868816
152,000089,2019,-0.7800376069107667,-0.3460111322185735
153,000089,2020,0.12543816443194095,-0.7800376069107667
154,000090,2018,-0.8419609318311245,0.09807214395467607
155,000090,2019,-1.0204251259743449,-0.8419609318311245
156,000090,2020,-0.5281228908444403,-1.0204251259743449
157,000096,2018,-0.7507571854897731,-0.30412138940055816
158,000096,2019,-0.09912889260499633,-0.7507571854897731
159,000096,2020,-0.7438796660704765,-0.09912889260499633
160,000099,2018,-1.017490789598748,0.7638610587650843
161,000099,2019,-0.2607761563586573,-1.017490789598748
162,000099,2020,0.2182810888129767,-0.2607761563586573
163,000100,2018,-1.2253173961450383,-0.02818246576476805
164,000100,2019,-0.5662799623510034,-1.2253173961450383
165,000100,2020,-1.0907984634021872,-0.5662799623510034
166,000150,2018,-0.1647023900210556,-0.4385227477210421
167,000150,2019,-0.5791003341501024,-0.1647023900210556
168,000150,2020,-0.7166063218352424,-0.5791003341501024
169,000151,2018,-0.1832020832937406,-1.6124110401954197
170,000151,2019,0.362586049608838,-0.1832020832937406
171,000151,2020,-0.6386890239916433,0.362586049608838
172,000153,2018,-0.416403713882264,0.003148046003705596
173,000153,2019,-0.922436477127312,-0.416403713882264
174,000153,2020,-0.2848220386198561,-0.922436477127312
175,000155,2018,-0.6113152382879022,-0.3366440271346542
176,000155,2019,-1.1252119443341235,-0.6113152382879022
177,000155,2020,-0.6340296951743524,-1.1252119443341235
178,000156,2018,-1.0728775881912809,0.5062198204150934
179,000156,2019,-1.5384408676994428,-1.0728775881912809
180,000156,2020,0.5318596764805522,-1.5384408676994428
181,000157,2018,-0.7393318182607644,-0.6712737715363172
182,000157,2019,-1.305702872166011,-0.7393318182607644
183,000157,2020,-0.90136506151404,-1.305702872166011
184,000158,2018,-1.5885110924420716,0.5621737381895716
185,000158,2019,-0.7547754381000519,-1.5885110924420716
186,000158,2020,-1.009404135896126,-0.7547754381000519
187,000159,2018,-1.8266681249589236,-1.2331932152381817
188,000159,2019,-0.8393697713609979,-1.8266681249589236
189,000159,2020,-0.3670971841469875,-0.8393697713609979
190,000301,2018,-1.3761543545616313,-0.2584851743282899
191,000301,2019,-1.1018305345907409,-1.3761543545616313
192,000301,2020,-0.30153383255091193,-1.1018305345907409
193,000333,2018,-0.11932249554521435,-0.3431389690062396
194,000333,2019,-0.37652386317807496,-0.11932249554521435
195,000333,2020,0.017679732422966932,-0.37652386317807496
196,000338,2018,-0.414849867385183,-0.5110793040177225
197,000338,2019,-0.2709226774460847,-0.414849867385183
198,000338,2020,-1.497449650489566,-0.2709226774460847
199,000400,2018,-1.0184180736478878,-1.0522022522422163
200,000400,2019,-0.8535538382120669,-1.0184180736478878
201,000400,2020,-1.1877739903569386,-0.8535538382120669
202,000401,2018,-0.5797218154351352,-0.8508080176079019
203,000401,2019,-0.9789936044494152,-0.5797218154351352
204,000401,2020,0.1839591985415479,-0.9789936044494152
205,000402,2018,0.2177855554206047,0.14947116945834354
206,000402,2019,0.23535052862469635,0.2177855554206047
207,000402,2020,-0.7070676861973051,0.23535052862469635
