,Stkcd,Time,Dturn
453,000534,2017-12-31,-0.06255349999999997
454,000534,2018-12-31,-0.041217250000000025
455,000534,2019-12-31,0.06004458333333333
456,000534,2020-12-31,0.14185849999999994
457,000536,2017-12-31,-0.08573466666666665
458,000536,2018-12-31,0.02889633333333333
459,000536,2019-12-31,0.7328608333333334
460,000536,2020-12-31,-0.6335859166666666
461,000537,2017-12-31,0.1814009166666667
462,000537,2018-12-31,0.07259783333333336
463,000537,2019-12-31,-0.049754083333333365
464,000537,2020-12-31,-0.035040833333333354
465,000538,2017-12-31,0.08898716666666667
466,000538,2018-12-31,-0.019986712121212127
467,000538,2019-12-31,0.05900737878787882
468,000538,2020-12-31,0.09852966666666663
469,000539,2017-12-31,-0.005808416666666663
470,000539,2018-12-31,-0.02946058333333334
471,000539,2019-12-31,0.031190666666666665
472,000539,2020-12-31,0.001870333333333335
473,000540,2020-12-31,0.04505458333333329
474,000541,2017-12-31,0.015964500000000048
475,000541,2018-12-31,-0.11478641666666671
476,000541,2019-12-31,0.01447066666666666
477,000541,2020-12-31,0.12460883333333332
478,000543,2017-12-31,-0.059660416666666646
479,000543,2018-12-31,0.01615399999999996
480,000543,2019-12-31,0.02472883333333334
481,000543,2020-12-31,0.04781549999999998
482,000544,2017-12-31,0.1943139166666667
483,000544,2018-12-31,-0.19386383333333337
484,000544,2019-12-31,0.11253016666666668
485,000544,2020-12-31,-0.11202399999999998
486,000545,2017-12-31,0.29493008333333337
487,000545,2018-12-31,-0.3839025833333333
488,000545,2019-12-31,0.1052886666666667
489,000545,2020-12-31,0.3575545833333333
490,000546,2017-12-31,0.5944289166666666
491,000546,2018-12-31,-0.6844114166666666
492,000546,2019-12-31,0.008990416666666654
493,000546,2020-12-31,0.13183849999999994
494,000547,2018-12-31,-0.14639599999999997
495,000547,2019-12-31,0.10197159999999988
496,000547,2020-12-31,0.2763115833333334
497,000548,2017-12-31,0.29727925
498,000548,2018-12-31,-0.2879404166666667
499,000548,2019-12-31,-0.016820250000000037
500,000548,2020-12-31,0.10396558333333336
501,000550,2017-12-31,0.02944808333333332
502,000550,2018-12-31,-0.02125166666666667
503,000550,2019-12-31,0.06298400000000003
504,000550,2020-12-31,0.28456975
505,000551,2017-12-31,0.10518999999999995
506,000551,2018-12-31,-0.25028149999999993
507,000551,2019-12-31,0.1205888333333333
508,000551,2020-12-31,0.3986678333333332
509,000552,2017-12-31,0.10784958333333333
510,000552,2018-12-31,-0.09291516666666669
511,000552,2019-12-31,-0.009023583333333307
512,000552,2020-12-31,0.08283291666666664
513,000553,2017-12-31,-0.3516048333333334
514,000553,2018-12-31,0.052954833333333395
515,000553,2019-12-31,-0.24029174999999997
516,000553,2020-12-31,0.0048918333333333175
517,000554,2017-12-31,-0.9723083333333332
518,000554,2018-12-31,-0.4854455833333336
519,000554,2019-12-31,0.06545350000000011
520,000554,2020-12-31,0.2040434166666668
521,000555,2017-12-31,-0.533939625
522,000555,2018-12-31,0.22428004166666665
523,000555,2019-12-31,0.14316633333333323
524,000555,2020-12-31,0.07286666666666669
525,000557,2017-12-31,0.22896642857142863
526,000557,2018-12-31,-0.03125401190476196
527,000557,2019-12-31,-0.06308841666666659
528,000557,2020-12-31,-0.10007425000000009
529,000558,2018-12-31,0.03529975000000002
530,000558,2019-12-31,-0.05929183333333338
531,000558,2020-12-31,0.00808591666666672
532,000559,2017-12-31,0.027224833333333337
533,000559,2018-12-31,-0.071966
534,000559,2019-12-31,0.007683583333333327
535,000559,2020-12-31,0.07402133333333333
536,000560,2018-12-31,-0.6957619166666664
537,000560,2019-12-31,-0.021360666666666667
538,000560,2020-12-31,0.08204075
539,000561,2017-12-31,0.16161716666666662
540,000561,2018-12-31,-0.17785624999999997
541,000561,2019-12-31,0.14301641666666667
542,000561,2020-12-31,0.10466116666666664
543,000565,2017-12-31,-0.1998606666666667
544,000565,2018-12-31,-0.10891016666666664
545,000565,2019-12-31,0.08139249999999995
546,000565,2020-12-31,-0.06232199999999993
547,000566,2017-12-31,-0.01263527272727269
548,000566,2018-12-31,0.18240743939393939
549,000566,2019-12-31,0.0035534166666666422
550,000566,2020-12-31,0.19903233333333342
551,000568,2017-12-31,0.005986166666666681
