,Stkcd,Time,BP
378,000417,2017-12-31,0.836479
379,000417,2018-12-31,1.114629
380,000417,2019-12-31,1.08913
381,000417,2020-12-31,1.10799
382,000418,2016-12-31,0.622975
383,000418,2017-12-31,0.426438
384,000418,2018-12-31,0.598364
385,000419,2016-12-31,0.643874
386,000419,2017-12-31,0.790907
387,000419,2018-12-31,1.184014
388,000419,2019-12-31,1.160963
389,000419,2020-12-31,1.212561
390,000420,2016-12-31,0.741265
391,000420,2017-12-31,0.683644
392,000420,2018-12-31,0.911155
393,000420,2019-12-31,0.879466
394,000420,2020-12-31,0.93418
395,000421,2016-12-31,0.871739
396,000421,2017-12-31,0.991287
397,000421,2018-12-31,1.085939
398,000421,2019-12-31,1.088089
399,000421,2020-12-31,0.997435
400,000422,2016-12-31,0.991721
401,000422,2017-12-31,0.93952
402,000422,2018-12-31,0.973622
403,000422,2019-12-31,0.940604
404,000422,2020-12-31,0.935037
405,000423,2016-12-31,0.270448
406,000423,2017-12-31,0.295262
407,000423,2018-12-31,0.488309
408,000423,2019-12-31,0.47066
409,000423,2020-12-31,0.413419
410,000425,2016-12-31,0.932209
411,000425,2017-12-31,0.855992
412,000425,2018-12-31,1.079248
413,000425,2019-12-31,0.903887
414,000425,2020-12-31,0.92867
415,000426,2016-12-31,0.590062
416,000426,2017-12-31,0.539042
417,000426,2018-12-31,0.749528
418,000426,2019-12-31,0.756287
419,000426,2020-12-31,0.55644
420,000428,2016-12-31,0.740438
421,000428,2017-12-31,0.905006
422,000428,2018-12-31,0.989991
423,000428,2019-12-31,0.968538
424,000428,2020-12-31,0.877976
425,000429,2016-12-31,0.926568
426,000429,2017-12-31,0.887955
427,000429,2018-12-31,0.899067
428,000429,2019-12-31,0.792565
429,000429,2020-12-31,0.948582
430,000430,2016-12-31,0.492112
431,000430,2017-12-31,0.658254
432,000430,2018-12-31,0.890846
433,000430,2019-12-31,0.865531
434,000430,2020-12-31,0.885025
435,000488,2016-12-31,1.046723
436,000488,2017-12-31,1.010295
437,000488,2018-12-31,1.095244
438,000488,2019-12-31,1.124301
439,000488,2020-12-31,1.097108
440,000498,2016-12-31,0.897865
441,000498,2017-12-31,0.929131
442,000498,2018-12-31,1.01153
443,000498,2019-12-31,1.103585
444,000498,2020-12-31,1.027003
445,000501,2016-12-31,0.790584
446,000501,2017-12-31,0.802654
447,000501,2018-12-31,1.03833
448,000501,2019-12-31,0.971139
449,000501,2020-12-31,1.043711
450,000503,2016-12-31,0.039402
451,000503,2017-12-31,0.037289
452,000503,2018-12-31,0.089314
453,000503,2019-12-31,0.084398
454,000503,2020-12-31,0.165275
455,000504,2016-12-31,0.056092
456,000504,2017-12-31,0.053418
457,000504,2018-12-31,0.083396
458,000504,2019-12-31,0.100708
459,000504,2020-12-31,0.131641
460,000505,2016-12-31,0.231494
461,000505,2017-12-31,0.782296
462,000505,2018-12-31,0.90705
463,000505,2019-12-31,0.936785
464,000505,2020-12-31,0.741299
465,000506,2016-12-31,0.272582
466,000506,2017-12-31,0.306411
467,000506,2018-12-31,0.64665
468,000506,2019-12-31,0.623824
469,000506,2020-12-31,0.583932
470,000507,2016-12-31,0.741366
471,000507,2017-12-31,0.550063
472,000507,2018-12-31,0.782097
473,000507,2019-12-31,0.994832
474,000507,2020-12-31,1.04058
475,000510,2016-12-31,0.177917
476,000510,2017-12-31,0.269548
477,000510,2018-12-31,0.533605
478,000510,2019-12-31,0.546109
479,000510,2020-12-31,0.535057
480,000511,2016-12-31,0.377033
481,000513,2016-12-31,0.510598
482,000513,2017-12-31,0.497489
483,000513,2018-12-31,0.812026
484,000513,2019-12-31,0.594761
485,000513,2020-12-31,0.566189
486,000514,2016-12-31,0.503429
487,000514,2017-12-31,0.786988
488,000514,2018-12-31,1.062153
489,000514,2019-12-31,0.964523
490,000514,2020-12-31,1.090994
491,000517,2016-12-31,0.471249
492,000517,2017-12-31,0.679632
493,000517,2018-12-31,0.907926
494,000517,2019-12-31,0.961928
495,000517,2020-12-31,1.01511
496,000518,2016-12-31,0.106546
497,000518,2017-12-31,0.127653
498,000518,2018-12-31,0.240782
499,000518,2019-12-31,0.229373
500,000518,2020-12-31,0.152259
501,000519,2016-12-31,0.693707
502,000519,2017-12-31,0.788146
503,000519,2018-12-31,0.953702
504,000519,2019-12-31,0.871546
505,000519,2020-12-31,0.69135
506,000520,2016-12-31,0.063916
507,000520,2017-12-31,0.121935
508,000520,2018-12-31,0.198733
509,000520,2019-12-31,0.138813
510,000520,2020-12-31,0.173402
511,000521,2016-12-31,0.924345
512,000521,2017-12-31,1.010746
513,000521,2018-12-31,1.148366
514,000521,2019-12-31,1.140743
515,000521,2020-12-31,0.959105
516,000524,2016-12-31,0.194377
517,000524,2017-12-31,0.685104
518,000524,2018-12-31,0.847951
519,000524,2019-12-31,0.837353
520,000524,2020-12-31,0.547078
521,000526,2016-12-31,0.481494
522,000526,2018-12-31,0.685084
523,000526,2019-12-31,0.553539
524,000526,2020-12-31,0.417335
525,000528,2016-12-31,1.031148
526,000528,2017-12-31,0.978263
527,000528,2018-12-31,1.048735
528,000528,2019-12-31,1.019889
529,000528,2020-12-31,1.031562
530,000529,2016-12-31,0.224637
531,000529,2017-12-31,0.454574
532,000529,2018-12-31,0.673494
533,000529,2019-12-31,0.543817
534,000529,2020-12-31,0.666328
535,000530,2016-12-31,0.719471
536,000530,2017-12-31,0.918755
537,000530,2018-12-31,1.208218
538,000530,2019-12-31,1.123791
539,000530,2020-12-31,1.029995
540,000531,2017-12-31,0.881951
541,000531,2018-12-31,1.081196
542,000531,2019-12-31,0.992501
543,000531,2020-12-31,0.951548
544,000532,2016-12-31,0.258852
545,000532,2017-12-31,0.460353
546,000532,2018-12-31,0.512429
547,000532,2019-12-31,0.451465
548,000532,2020-12-31,0.449792
549,000533,2016-12-31,0.326024
550,000533,2017-12-31,0.461245
551,000533,2018-12-31,0.756643
552,000533,2019-12-31,0.69987
553,000533,2020-12-31,0.68212
554,000534,2016-12-31,0.261946
555,000534,2017-12-31,0.315177
556,000534,2018-12-31,0.419886
557,000534,2019-12-31,0.363293
558,000534,2020-12-31,0.270509
559,000536,2016-12-31,0.759998
560,000536,2017-12-31,0.972292
561,000536,2018-12-31,1.098657
562,000536,2019-12-31,0.852921
563,000536,2020-12-31,0.828925
564,000537,2016-12-31,0.930248
565,000537,2017-12-31,0.959319
566,000537,2018-12-31,0.990715
567,000537,2019-12-31,0.997322
568,000537,2020-12-31,1.047885
569,000538,2016-12-31,0.27925
570,000538,2017-12-31,0.239718
571,000538,2018-12-31,0.347265
572,000538,2019-12-31,0.580466
573,000538,2020-12-31,0.523158
574,000539,2016-12-31,1.037462
575,000539,2017-12-31,1.067123
